company,address,longitude,latitude,latlong,longlat,zipcode,town,state,date_founded,date_closed,company_type,source,name_changed,year_name_changed,notes,see also
Graywood Co,"157 San Lazaro Ave, Palo Alto, CA",,,", ",", ",,,,,,,1966 Sunnyvale City Directory,,,,
GTE PRODUCTS,1180 KERN AVE.,-121.997474,37.382579,"-121.997474, 37.382579","37.382579, -121.997474",94086,Sunnyvale,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Hales Testing Laboratories,"1509 Terminal Ave, San Jose, CA",-121.9061118,37.36831655,"-121.906111819858, 37.3683165510667","37.3683165510667, -121.906111819858",,,,,,,1962 San Jose City Directory,,,,
Hamilton Electro Sales,"882 Emerson, Palo Alto, CA",-122.1583118,37.44154303,"-122.158311780198, 37.4415430278231","37.4415430278231, -122.158311780198",,Palo Alto,Ca,,,,,,,,
Hamilton Robt H,"941 E. Charleston Road, Palo Alto, CA",-122.1012359,37.42174498,"-122.101235912543, 37.4217449826179","37.4217449826179, -122.101235912543",,Palo Alto,California,,,,,,,,
HARRIS MICROWAVE,1530 McCARTHY BLVD.,-121.920133,37.4077,"-121.920133, 37.4077","37.4077, -121.920133",95035,Milpitas,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Hewlett Packard,901 California Ave.,-122.131391,37.442744,"-122.131391, 37.442744","37.442744, -122.131391",94301,Palo Alto,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Hewlett Packard,3495 Deer Creek Rd.,-122.151332,37.396082,"-122.151332, 37.396082","37.396082, -122.151332",94304,Palo Alto,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Hewlett Packard,3500 Deer Creek Rd.,-122.151621,37.39617,"-122.151621, 37.39617","37.39617, -122.151621",94304,Palo Alto,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Hewlett Packard,1501 Page Mill Rd.,-122.149615,37.413842,"-122.149615, 37.413842","37.413842, -122.149615",94304,Palo Alto,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Hewlett Packard,3000 Hanover St.,-122.144814,37.416111,"-122.144814, 37.416111","37.416111, -122.144814",94304,Palo Alto,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Hewlett Packard,640 Page Mill Rd.,-122.143546,37.421408,"-122.143546, 37.421408","37.421408, -122.143546",94304,Palo Alto,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Hewlett Packard,395 Page Mill Rd.,-122.13973,37.425661,"-122.13973, 37.425661","37.425661, -122.13973",94304,Palo Alto,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Hewlett Packard,1601 California Ave.,-122.152583,37.416988,"-122.152583, 37.416988","37.416988, -122.152583",94306,Palo Alto,California,,,,Rich's Complete Guide to Silicon Valley,,,,
HEWLETT PACKARD,19310 PRUNERIDGE AVE.,-122.010639,37.332514,"-122.010639, 37.332514","37.332514, -122.010639",95014,Cupertino,California,,,,Rich's Complete Guide to Silicon Valley,,,,
HEWLETT PACKARD,19447 PRUNERIDGE AVE.,-122.012036,37.333493,"-122.012036, 37.333493","37.333493, -122.012036",95014,Cupertino,California,,,,Rich's Complete Guide to Silicon Valley,,,,
HEWLETT PACKARD,11000 WOLFE RD.,-122.014161,37.335921,"-122.014161, 37.335921","37.335921, -122.014161",95014,Cupertino,California,,,,Rich's Complete Guide to Silicon Valley,,,,
HEWLETT PACKARD,19410 HOMESTEAD RD.,-122.011692,37.3377,"-122.011692, 37.3377","37.3377, -122.011692",95014,Cupertino,California,,,,Rich's Complete Guide to Silicon Valley,,,,
HEWLETT PACKARD,1330 KIFER RD.,-121.977829,37.37412,"-121.977829, 37.37412","37.37412, -121.977829",95051,Santa Clara,California,,,,Rich's Complete Guide to Silicon Valley,,,,
HEWLETT PACKARD,350 W. TRIMBLE RD.,-121.933456,37.3833,"-121.933456, 37.3833","37.3833, -121.933456",95134,San Jose,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Hewlett Packard Parts,333 Logue Ave,-122.07431,37.38802,"-122.07431, 37.38802","37.38802, -122.07431",94042,Mountain View,California,,,,Rich's Complete Guide to Silicon Valley,,,,
HEWLETT PACKARD-DTD,974 E. ARQUES AVE.,-122.004718,37.380738,"-122.004718, 37.380738","37.380738, -122.004718",94086,Sunnyvale,California,,,,Rich's Complete Guide to Silicon Valley,,,,
HEWLETT PACKARD-SMC,3410 CENTRAL EXP.,-121.991543,37.377572,"-121.991543, 37.377572","37.377572, -121.991543",95051,Santa Clara,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Hewlett-Packard Co.,"1501 Page Mill Road, Palo Alto, CA",-122.1478323,37.41202695,"-122.147832338048, 37.41202695","37.41202695, -122.147832338048",,Palo Alto,California,,,,"Number of Employees and Value of Buildings in Stanford Industrial Park,' December 7, 1960, Folder 10, Frederick Terman Papers, SUA",,,,
High Voltage Engineering Corp,"505 W. Olive Ave, Sunnyvale, CA",-122.0381792,37.3724441,"-122.0381792, 37.3724441","37.3724441, -122.0381792",,,,,,,1966 Sunnyvale City Directory,,,,
Hillview Eleanor Plume,"Hillview and Eleanor Intersection, Los Altos, CA",,,", ",", ",,,California,,,,,,,,
Hillview-Porter (Watkins Johnson Well) ,"3333 Hillview Dr, Palo Alto, CA",,,", ",", ",,Palo Alto,California,,,,,,,,
Holbrooko Merrill Co,"1150 Kifer Road, Sunnyvale, CA",-121.996911,37.3738569,"-121.996911, 37.3738569","37.3738569, -121.996911",,,,,,,1966 Sunnyvale City Directory,,,,
HOLIDAY INN,282 ALMADEN BLVD.,-121.891513,37.329775,"-121.891513, 37.329775","37.329775, -121.891513",95126,San Jose,California,,,,Rich's Complete Guide to Silicon Valley,,,,
HOLIDAY INN,282 ALMADEN BLVD.,-121.891513,37.329775,"-121.891513, 37.329775","37.329775, -121.891513",95126,San Jose,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Honeywell,"1041 DiGiulio Ave, Santa Clara, CA",,,", ",", ",,,,,,,1964 San Jose City Directory,,,,
Honeywell Comm. Div.,1130 Mt. View-Alviso Rd.,-122.023851,37.371042,"-122.023851, 37.371042","37.371042, -122.023851",94086,Sunnyvale,California,,,,Rich's Complete Guide to Silicon Valley,,,,
HOTEL SAINTE CLAIRE,302 S. MARKET ST.,-121.88807,37.330661,"-121.88807, 37.330661","37.330661, -121.88807",95126,San Jose,California,,,,Rich's Complete Guide to Silicon Valley,,,,
HOTEL SAINTE CLAIRE,302 S. MARKET ST.,-121.88807,37.330661,"-121.88807, 37.330661","37.330661, -121.88807",95126,San Jose,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Houghton Mifflin Co.,"777 California Avenue, Palo Alto, CA",-122.1430031,37.4285379,"-122.1430031, 37.4285379","37.4285379, -122.1430031",,Palo Alto,California,,,,"Number of Employees and Value of Buildings in Stanford Industrial Park,' December 7, 1960, Folder 10, Frederick Terman Papers, SUA",,,,
Huggins Laboratories Inc,"999 E. Arques Ave, Sunnyvale, CA",-122.0049351,37.38090193,"-122.004935110442, 37.3809019334415","37.3809019334415, -122.004935110442",,,,,,,1964 Sunnyvale City Directory,,,,
Hughes Aircraft Co Semiconductor Division,"535 Middlefield Road, Palo Alto, CA",-122.1362592,37.4377862,"-122.1362592, 37.4377862","37.4377862, -122.1362592",,Palo Alto,California,,,,,,,,
Hydro Science,"1256 Birchwood Ave, Sunnyvale, CA",,,", ",", ",,,,,,,1968 Sunnyvale City Directory,,,,
IBM Corp.,1299 Orleans Ave.,-122.023851,37.371042,"-122.023851, 37.371042","37.371042, -122.023851",94086,Sunnyvale,California,,,,Rich's Complete Guide to Silicon Valley,,,,
IBM Corp.,1550 Page Mill Rd.,-122.14921,37.414567,"-122.14921, 37.414567","37.414567, -122.14921",94304,Palo Alto,California,,,,Rich's Complete Guide to Silicon Valley,,,,
IBM Corp.,1501 California Ave.,-122.151977,37.417686,"-122.151977, 37.417686","37.417686, -122.151977",94306,Palo Alto,California,,,,Rich's Complete Guide to Silicon Valley,,,,
IBM CORP.,50 W. BROKAW RD.,-121.901914,37.338251,"-121.901914, 37.338251","37.338251, -121.901914",95110,San Jose,California,,,,Rich's Complete Guide to Silicon Valley,,,,
IBM CORP.,40 W. BROKAW RD.,-121.901914,37.338251,"-121.901914, 37.338251","37.338251, -121.901914",95110,San Jose,California,,,,Rich's Complete Guide to Silicon Valley,,,,
IBM CORP.,50 W. BROKAW RD.,-121.901914,37.338251,"-121.901914, 37.338251","37.338251, -121.901914",95110,San Jose,California,,,,Rich's Complete Guide to Silicon Valley,,,,
IBM CORP.,40 W. BROKAW RD.,-121.901914,37.338251,"-121.901914, 37.338251","37.338251, -121.901914",95110,San Jose,California,,,,Rich's Complete Guide to Silicon Valley,,,,
IBM CORP.,7071 REALM DR.,-121.776471,37.229188,"-121.776471, 37.229188","37.229188, -121.776471",95119,San Jose,California,,,,Rich's Complete Guide to Silicon Valley,,,,
IBM CORP.,7071 REALM DR.,-121.776471,37.229188,"-121.776471, 37.229188","37.229188, -121.776471",95119,San Jose,California,,,,Rich's Complete Guide to Silicon Valley,,,,
IBM CORP.,151 MARTINVALE LANE,-121.778458,37.229792,"-121.778458, 37.229792","37.229792, -121.778458",95119,San Jose,California,,,,Rich's Complete Guide to Silicon Valley,,,,
IBM CORP.,151 MARTINVALE LANE,-121.778458,37.229792,"-121.778458, 37.229792","37.229792, -121.778458",95119,San Jose,California,,,,Rich's Complete Guide to Silicon Valley,,,,
IBM CORP.,6951 VIA DEL ORO,-121.775542,37.2304,"-121.775542, 37.2304","37.2304, -121.775542",95119,San Jose,California,,,,Rich's Complete Guide to Silicon Valley,,,,
IBM CORP.,6951 VIA DEL ORO,-121.775542,37.2304,"-121.775542, 37.2304","37.2304, -121.775542",95119,San Jose,California,,,,Rich's Complete Guide to Silicon Valley,,,,
IBM CORP.,6331 SAN IGNACIO AVE.,-121.78142,37.237403,"-121.78142, 37.237403","37.237403, -121.78142",95119,San Jose,California,,,,Rich's Complete Guide to Silicon Valley,,,,
IBM CORP.,6331 SAN IGNACIO AVE.,-121.78142,37.237403,"-121.78142, 37.237403","37.237403, -121.78142",95119,San Jose,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Iconix Inc,"945 Industrial, Palo Alto, CA",-122.0990042,37.423523,"-122.099004236979, 37.423523","37.423523, -122.099004236979",,Palo Alto,California,,,,,,,,
Ideal Instrument,"3611 Forest Ave, San Jose, CA",-121.932079,37.3270415,"-121.932079, 37.3270415","37.3270415, -121.932079",,,,,,,1960 San Jose City Directory,,,,
Information Management International,"1101 S. Winchester Blvd, San Jose, CA",-121.950117,37.30704672,"-121.950117047467, 37.3070467190261","37.3070467190261, -121.950117047467",,,,,,,1973 San Jose City Directory,,,,
Information Technology Inc,"164 N. Wolfe Road, Sunnyvale, CA",-122.0127984,37.3779925,"-122.012798375, 37.3779925","37.3779925, -122.012798375",,,,,,,1966 Sunnyvale City Directory,,,,
INMAC,130 S. WOLFE RD.,-122.012022,37.370447,"-122.012022, 37.370447","37.370447, -122.012022",94086,Sunnyvale,California,,,,Rich's Complete Guide to Silicon Valley,,,,
INMAC,911 McLAUGHLIN AVE.,-121.856571,37.335641,"-121.856571, 37.335641","37.335641, -121.856571",95122,San Jose,California,,,,Rich's Complete Guide to Silicon Valley,,,,
INMAC,911 McLAUGHLIN AVE.,-121.856571,37.335641,"-121.856571, 37.335641","37.335641, -121.856571",95122,San Jose,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Innerphone Computer Service,"240 Di Salvo Ave, San Jose, CA",-121.936923,37.32346615,"-121.936923, 37.3234661538462","37.3234661538462, -121.936923",,,,,,,1973 San Jose City Directory,,,,
INTECH INC.,2270 MARTIN AVE.,-121.963425,37.367266,"-121.963425, 37.367266","37.367266, -121.963425",95050,Santa Clara,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Intel,"365 E. Middlefield Rd, Mountain View, CA",-122.0595984,37.39708966,"-122.059598357664, 37.3970896642336","37.3970896642336, -122.059598357664",,Mountain View,California,,,,,,,,
INTEL CORP .,3601 JULIETTE LN.,-121.964529,37.384467,"-121.964529, 37.384467","37.384467, -121.964529",95050,Santa Clara,California,,,,Rich's Complete Guide to Silicon Valley,,,,
INTEL CORP .,3000 OAKMEAD VILLAGE CT.,-121.980068,37.375961,"-121.980068, 37.375961","37.375961, -121.980068",95051,Santa Clara,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Intel Corp.,1302 N. Mathilda Ave.,-122.025061,37.414585,"-122.025061, 37.414585","37.414585, -122.025061",94086,Sunnyvale,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Intel Corp.,1350 Bordeaux Dr.,-122.02164,37.41534,"-122.02164, 37.41534","37.41534, -122.02164",94086,Sunnyvale,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Intel Corp.,376 Caribbean Dr.,-122.009773,37.415849,"-122.009773, 37.415849","37.415849, -122.009773",94086,Sunnyvale,California,,,,Rich's Complete Guide to Silicon Valley,,,,
INTEL CORP.,2880 NORTHWESTERN PKW.,-121.972041,37.373432,"-121.972041, 37.373432","37.373432, -121.972041",95051,Santa Clara,California,,,,Rich's Complete Guide to Silicon Valley,,,,
INTEL CORP.,3150 CENTRAL EXP.,-121.985442,37.377607,"-121.985442, 37.377607","37.377607, -121.985442",95051,Santa Clara,California,,,,Rich's Complete Guide to Silicon Valley,,,,
INTEL CORP.,3200 LAKESIDE DR.,-121.984329,37.387412,"-121.984329, 37.387412","37.387412, -121.984329",95051,Santa Clara,California,,,,Rich's Complete Guide to Silicon Valley,,,,
INTEL CORP.,1766 JUNCTION AVE.,-121.906532,37.377319,"-121.906532, 37.377319","37.377319, -121.906532",95112,San Jose,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Interail (GE),"1276 Hammerwood Ave, Sunnyvale, CA",-121.9904768,37.4063525,"-121.9904768, 37.4063525","37.4063525, -121.9904768",,Sunnyvale,California,,,,,,,,
Interdesign Inc./Ferranti,1255 Reamwood Ave.,-121.988545,37.405668,"-121.988545, 37.405668","37.405668, -121.988545",94086,Sunnyvale,California,,,,Rich's Complete Guide to Silicon Valley,,,,
International Business Machines Corp (ASDD West Coast Systems Laboratory),"6450 Guadalupe Miners Road, Los Gatos, CA",,,", ",", ",,,,,,,1964 San Jose City Directory,,,,
International Business Machines Corp (Sales Division),"1955 The Alameda, San Jose, CA",-121.924414,37.34178275,"-121.924413967928, 37.3417827470273","37.3417827470273, -121.924413967928",,,,,,,1964 San Jose City Directory,,,,
International Business Machines Corp (Supplies Division),"250 E. Hacienda Ave, Campbell, CA",-121.9560552,37.26909314,"-121.956055244898, 37.2690931428571","37.2690931428571, -121.956055244898",,,,,,,1964 San Jose City Directory,,,,
International Data Applications,"601 N. 1st, San Jose, CA",,,", ",", ",,,,,,,1977 San Jose City Directory,,,,
International Integrated Systems,"1777 Hamilton Ave, San Jose, CA",-121.9086846,37.2938307,"-121.9086846, 37.2938307","37.2938307, -121.9086846",,,,,,,1973 San Jose City Directory,,,,
Intersil Inc.,1273 Hammerwood Ave.,-121.990412,37.407927,"-121.990412, 37.407927","37.407927, -121.990412",94086,Sunnyvale,California,,,,Rich's Complete Guide to Silicon Valley,,,,
INTERSIL INC.,3250 SCOTT BLVD.,-121.971968,37.379667,"-121.971968, 37.379667","37.379667, -121.971968",95051,Santa Clara,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Intertec Co,"5019 La Honda Ave, San Jose, CA",-121.9902514,37.31991596,"-121.9902513998, 37.3199159580971","37.3199159580971, -121.9902513998",,,,,,,1973 San Jose City Directory,,,,
ISD,3205 CORONADO DR.,-121.974475,37.378558,"-121.974475, 37.378558","37.378558, -121.974475",95051,Santa Clara,California,,,,Rich's Complete Guide to Silicon Valley,,,,
ISS SPERRY UNIVAC,10501 N. TANTAU AVE.,-122.005853,37.329832,"-122.005853, 37.329832","37.329832, -122.005853",95014,Cupertino,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Itek Corp,"2626 Hanover Street, Palo Alto, CA",-122.1487238,37.4176305,"-122.148723833846, 37.4176305","37.4176305, -122.148723833846",,Palo Alto,California,,,,"Number of Employees and Value of Buildings in Stanford Industrial Park,' December 7, 1960, Folder 10, Frederick Terman Papers, SUA",,,,
J & S Electronics ,"2301 Lafayette, Santa Clara, CA",-121.9492133,37.3632844,"-121.949213274742, 37.3632843982888","37.3632843982888, -121.949213274742",,,,,,,1964 San Jose City Directory,,,,
Jasco Chemical Corp.,"1710 Villa St, Mountain View, CA",-122.0895004,37.39808531,"-122.089500411605, 37.3980853059665","37.3980853059665, -122.089500411605",,Mountain View,California,,,,,,,,
Jasco Chemical Corp.,1090 Terra Bella Ave  ,-122.0752172,37.408532,"-122.075217222222, 37.408532","37.408532, -122.075217222222",,,California,,,,,,,,
Jennings Radio Manufacturing Corp,"970 McLaughlin Ave, San Jose, CA",-121.8558662,37.33509301,"-121.855866209746, 37.3350930104881","37.3350930104881, -121.855866209746",,,,,,,1960 San Jose City Directory,,,,
Johnson Red Electronics,"3311 Park Blvd, Palo Alto, CA",,,", ",", ",,Palo Alto,California,,,,,,,,
JPR Electronics Inc,"650 Taylor Ave, Sunnyvale, CA",-122.017174,37.38323667,"-122.017174042561, 37.3832366744012","37.3832366744012, -122.017174042561",,,,,,,1966 Sunnyvale City Directory,,,,
Kaiser Aircraft and Electronics Corp,"850 San Antonio Road, Palo Alto, CA",,,", ",", ",,Palo Alto,California,,,,,,,,
KAISER ELECTRONICS,2701 ORCHARD PKWY.,-121.933014,37.38619,"-121.933014, 37.38619","37.38619, -121.933014",95134,San Jose,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Kane Engineering Laboratories,"845 Commercial, Palo Alto, CA",-122.1006225,37.422195,"-122.100622497358, 37.422195","37.422195, -122.100622497358",,Palo Alto,California,,,,,,,,
Kearfott Co Inc,"991 Commercial, Palo Alto, CA",-122.1002234,37.42496,"-122.100223411729, 37.42496","37.42496, -122.100223411729",,Palo Alto,California,,,,,,,,
KENNEDY,151 ALBRIGHT WAY,-121.963216,37.2574,"-121.963216, 37.2574","37.2574, -121.963216",95030,Los Gatos,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Keystone Computer Service,"91 Bassett St, San Jose, CA",-121.8954336,37.34138095,"-121.895433577011, 37.3413809541672","37.3413809541672, -121.895433577011",,,,,,,1977 San Jose City Directory,,,,
King Victor Materials Laboratory,"157 San Lazaro Ave, Sunnyvale, CA",-122.0120588,37.37685552,"-122.0120588, 37.37685552","37.37685552, -122.0120588",,,,,,,1964 Sunnyvale City Directory,,,,
Kirk-Mayer Inc,"918 E. Arques Ave, Sunnyvale, CA",-122.0075189,37.380868,"-122.007518932656, 37.380868","37.380868, -122.007518932656",,,,,,,1968 Sunnyvale City Directory,,,,
Knapic Electro-Physics Inc,"936 Industrial, Palo Alto, CA",-122.098342,37.4232,"-122.098342010349, 37.4232","37.4232, -122.098342010349",,Palo Alto,California,,,,,,,,
Kollsman Instrument Corp,"800 Welch Road, Palo Alto, CA",-122.1772634,37.437235,"-122.177263446286, 37.437235","37.437235, -122.177263446286",,Palo Alto,California,,,,,,,,
KULICKE &. SOFFA IND.,2210 MARTIN AVE .,-121.963426,37.366911,"-121.963426, 37.366911","37.366911, -121.963426",95050,Santa Clara,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Lafayatte Radio Electronics Associate,"942 W. El Camino Real, Sunnyvale, CA",-122.0472691,37.37142759,"-122.04726906597, 37.3714275928118","37.3714275928118, -122.04726906597",,,,,,,1966 Sunnyvale City Directory,,,,
